0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,probas
4,2,2,2,64,64,8,2,16,16,0,0,2,0,0,0,-0.0868172155688623
4,2,0,0,64,2,0,0,16,64,2,0,2,16,8,4,-0.08781522954091818
4,0,0,0,64,4,0,2,16,64,2,0,2,16,8,4,-0.08881324351297407
4,4,2,2,64,64,8,4,16,16,0,0,2,0,0,2,-0.08981125748502995
0,0,8,4,0,128,8,4,2,0,0,32,0,0,0,4,-0.09080927145708584
0,0,2,0,0,0,0,8,0,0,0,32,2,128,16,4,-0.09180728542914172
0,0,0,2,0,0,0,8,0,4,0,32,2,128,16,4,-0.09280529940119762
0,0,0,2,0,0,0,8,0,4,0,32,2,128,16,4,-0.09380331337325351
0,2,0,2,0,0,0,8,0,0,4,32,2,128,16,4,-0.0948013273453094
0,0,0,4,0,0,0,8,2,0,4,32,2,128,16,4,-0.09579934131736528
0,2,0,4,0,0,0,8,0,2,4,32,2,128,16,4,-0.09679735528942117
2,4,0,0,8,0,2,0,2,4,32,0,2,128,16,4,-0.09779536926147706
0,0,2,4,2,0,8,2,0,2,4,32,2,128,16,4,-0.09879338323353294
4,2,2,4,4,128,8,2,0,0,4,32,0,0,16,4,-0.09979139720558884
0,4,4,4,4,128,8,2,0,0,4,32,2,0,16,4,-0.10078941117764473
8,4,0,0,4,128,8,2,4,32,0,4,2,16,4,0,-0.10178742514970061
0,4,0,2,8,128,0,0,8,32,8,2,2,16,4,4,-0.1027854391217565
0,0,4,2,0,0,8,128,8,32,8,2,2,2,16,8,-0.10378345309381239
0,0,0,2,2,0,4,128,8,32,16,2,2,2,16,8,-0.10478146706586827
0,0,0,2,2,4,0,128,8,32,4,2,2,2,32,8,-0.10577948103792417
2,0,2,0,2,4,128,0,8,32,4,2,4,32,8,0,-0.10677749500998006
2,0,0,4,0,2,4,128,8,32,4,2,0,4,32,8,-0.10777550898203594
0,0,0,4,2,2,0,128,2,32,8,2,8,4,32,8,-0.10877352295409183
4,2,8,4,8,32,32,128,0,4,0,2,0,0,2,8,-0.10977153692614772
2,0,0,4,0,2,8,128,4,32,32,2,8,4,2,8,-0.1107695508982036
2,0,0,4,2,2,8,128,4,32,32,2,8,4,2,8,-0.1117675648702595
0,0,2,4,2,4,8,128,0,4,64,2,8,4,2,8,-0.11276557884231539
2,4,0,2,2,4,8,128,4,64,2,0,8,4,2,8,-0.11376359281437128
0,4,0,0,4,8,0,2,4,64,8,128,8,4,4,8,-0.11476160678642716
2,4,0,0,0,8,0,2,8,64,8,128,8,4,4,8,-0.11575962075848305
0,4,0,0,0,8,2,2,2,64,8,128,16,4,4,8,-0.11675763473053893
0,0,0,4,0,0,8,4,2,64,8,128,2,16,8,8,-0.11775564870259482
0,0,2,4,0,0,8,4,2,64,8,128,0,2,16,16,-0.11875366267465072
0,0,2,4,0,2,8,4,2,64,8,128,0,0,2,32,-0.1197516766467066
2,4,0,2,2,8,4,0,2,64,8,128,2,32,0,0,-0.12074969061876249
4,4,4,2,4,8,8,128,4,64,0,0,0,32,0,0,-0.12174770459081838
8,4,4,2,4,8,8,128,0,64,0,4,0,32,0,0,-0.12274571856287426
8,8,2,0,4,16,128,4,64,4,0,0,32,0,0,0,-0.12374373253493015
16,2,0,0,4,16,128,4,64,4,0,0,32,0,4,0,-0.12474174650698605
16,2,4,0,4,16,128,4,64,4,0,0,32,4,0,0,-0.12573976047904192
2,16,2,4,4,16,128,4,0,0,64,4,0,0,32,4,-0.1267377744510978
0,0,2,0,0,0,128,0,2,2,64,8,4,32,32,8,-0.1277357884231537
2,0,0,0,128,0,0,0,4,64,8,0,4,64,8,4,-0.1287338023952096
2,128,16,4,128,0,0,0,8,4,0,0,0,0,0,0,-0.12973181636726547
2,128,16,4,128,4,0,0,8,0,2,0,0,0,0,0,-0.13072983033932137
2,128,16,4,2,0,128,4,0,0,8,2,0,0,0,0,-0.13172784431137724
2,128,16,4,2,128,4,0,8,2,0,0,0,0,0,2,-0.13272585828343314
4,256,16,4,8,2,4,2,0,0,0,0,0,0,0,2,-0.133723872255489
4,256,16,4,8,2,4,4,0,2,0,0,0,0,0,0,-0.1347218862275449
4,256,16,8,8,4,4,0,0,0,0,0,0,2,0,0,-0.1357199001996008
4,256,16,8,0,0,8,8,0,0,2,0,0,0,0,2,-0.13671791417165668
0,0,0,0,0,0,16,0,0,2,8,16,4,256,2,2,-0.13771592814371258
0,0,0,2,0,0,0,16,0,2,8,16,0,4,256,4,-0.13871394211576846
2,0,0,0,16,0,0,2,2,8,16,0,4,256,4,0,-0.13971195608782436
2,8,16,2,16,256,4,0,2,0,2,0,4,0,0,0,-0.14070997005988026
2,8,16,2,4,16,256,4,0,0,0,4,0,0,0,4,-0.14170798403193613
2,8,16,2,4,16,256,4,0,0,0,4,0,0,0,4,-0.14270599800399203
2,8,16,2,4,16,256,8,2,0,0,4,0,0,0,0,-0.1437040119760479
2,0,0,0,2,0,0,2,4,8,16,8,2,16,256,4,-0.1447020259481038
2,2,0,0,4,0,0,0,4,8,16,8,2,16,256,4,-0.14570003992015967
0,0,0,4,0,0,2,4,4,8,16,8,2,16,256,4,-0.14669805389221557
0,0,0,4,0,0,2,4,4,8,16,8,2,16,256,4,-0.14769606786427147
2,0,0,0,0,0,2,8,4,8,16,8,2,16,256,4,-0.14869408183632735
2,0,0,0,2,8,2,0,4,8,16,8,2,16,256,4,-0.14969209580838325
4,16,2,8,4,16,16,4,2,0,256,2,0,0,0,0,-0.15069010978043912
4,16,2,8,4,32,4,0,2,256,2,0,2,0,0,0,-0.15168812375249502
4,16,2,8,4,32,4,0,2,256,2,0,2,0,0,0,-0.1526861377245509
4,16,2,8,4,32,4,0,2,256,2,0,2,0,0,0,-0.1536841516966068
8,16,2,8,4,32,4,0,0,256,2,0,0,0,0,2,-0.1546821656686627
0,0,2,0,0,16,2,0,8,32,4,8,4,256,2,2,-0.15568017964071856
